train_id,source_station,destination_station,train_capacity,booked_seats,available_seats,waiting_list_count,day_type,festival_flag,travel_date,crowd_level
TR1014,Salem,Madurai,1200,678,522,46,Weekday,Yes,2024-03-06,medium
TR1003,Coimbatore,Chennai,1200,1071,129,54,Weekend,Yes,2025-07-19,high
TR1015,Tirunelveli,Salem,1200,794,406,9,Weekday,No,2025-04-23,medium
TR1038,Chennai,Trichy,1000,626,374,20,Weekend,No,2024-11-16,medium
TR1004,Tirunelveli,Trichy,1200,845,355,13,Weekday,No,2024-11-12,medium
TR1003,Coimbatore,Chennai,1200,926,274,95,Weekday,No,2025-09-19,high
TR1048,Madurai,Tirunelveli,1000,543,457,40,Weekend,No,2024-03-03,medium
TR1016,Hyderabad,Trichy,1200,867,333,92,Weekend,No,2025-05-24,medium
TR1017,Bangalore,Hyderabad,1200,914,286,61,Weekday,No,2024-05-27,high
TR1004,Tirunelveli,Trichy,1200,1120,80,155,Weekend,No,2024-03-09,high
TR1066,Hyderabad,Chennai,800,424,376,34,Weekend,No,2025-01-19,medium
TR1066,Hyderabad,Chennai,800,438,362,41,Weekend,No,2025-12-14,medium
TR1049,Chennai,Hyderabad,1000,681,319,27,Weekend,Yes,2025-06-21,medium
TR1018,Erode,Coimbatore,1200,923,277,81,Weekday,No,2025-07-10,high
TR1022,Coimbatore,Hyderabad,1200,827,373,38,Weekend,No,2025-06-08,medium
TR1032,Bangalore,Tirunelveli,1000,741,259,80,Weekday,Yes,2025-07-28,medium
TR1023,Hyderabad,Coimbatore,1200,934,266,105,Weekday,No,2025-01-10,high
TR1024,Hyderabad,Salem,1200,893,307,48,Weekday,Yes,2024-04-03,medium
TR1039,Coimbatore,Erode,1000,513,487,52,Weekday,No,2025-09-05,medium
TR1050,Tirunelveli,Chennai,1000,498,502,1,Weekday,No,2024-11-25,medium
TR1006,Erode,Bangalore,1200,918,282,63,Weekday,No,2024-12-31,high
TR1064,Madurai,Hyderabad,800,452,348,26,Weekend,No,2024-09-28,medium
TR1051,Trichy,Erode,1000,564,436,52,Weekday,No,2024-05-13,medium
TR1005,Erode,Salem,1200,1091,109,48,Weekend,No,2025-11-08,high
TR1019,Chennai,Madurai,1200,995,205,33,Weekday,No,2025-07-25,high
TR1043,Trichy,Coimbatore,1000,693,307,28,Weekday,No,2025-04-15,medium
TR1007,Hyderabad,Tirunelveli,1200,1060,140,186,Weekday,No,2024-10-21,high
TR1044,Bangalore,Trichy,1000,514,486,27,Weekend,Yes,2025-08-24,medium
TR1050,Tirunelveli,Chennai,1000,604,396,38,Weekend,No,2025-02-02,medium
